Stockpile_ID,AreaName,Date,numID,Type,PointName,POINT_X,POINT_Y
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41443998,23.85137548
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41441421,23.85139682
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41436897,23.8513845
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41433593,23.8513863
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.4143127,23.85139799
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41429457,23.8513745
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41428222,23.85136173
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41428115,23.85134503
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41426826,23.85133127
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41425591,23.8513234
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41422744,23.85130817
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41419897,23.85131258
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41416513,23.85132683
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41410012,23.85135776
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41407058,23.8513725
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41404318,23.8513887
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41402061,23.85140884
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41401309,23.85142456
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41402382,23.85145404
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.4140308,23.85147664
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41407644,23.85157737
a,Bagmara,1312018,5,base,a_Bagmara_01312018_5_base,89.41410167,23.85163092
a,Bagmara,1312018,5,mh,a_Bagmara_01312018_5_mh,89.41411829,23.85135037
a,Bagmara,1312018,5,mh,a_Bagmara_01312018_5_mh,89.41414737,23.85141253
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41415218,23.8515538
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.414164,23.85156314
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41418173,23.85156363
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41421235,23.85155578
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41424673,23.85154252
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41426661,23.85152975
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.4142838,23.85151943
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41431066,23.85151698
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41433429,23.85151846
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41436169,23.85151699
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.4143778,23.85151454
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41439177,23.8515057
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41439607,23.85149145
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41438748,23.85148555
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41436921,23.85148408
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41434504,23.85148653
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41434289,23.85148751
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41431926,23.85149094
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41429616,23.85148554
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41428811,23.85147325
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41428489,23.85145508
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41425858,23.85141429
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41424407,23.85139759
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41421614,23.85138825
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41415007,23.85141231
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41411031,23.85143048
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41410225,23.85144276
a,Bagmara,1312018,5,plat,a_Bagmara_01312018_5_plat,89.41415218,23.8515538
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41439723,23.85149396
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41443015,23.85148454
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41446522,23.85146091
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41448045,23.85144764
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41452928,23.85142299
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41458601,23.85137036
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41462657,23.85133001
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41464734,23.85130972
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41466931,23.85129533
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41468988,23.85127838
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41470508,23.85126382
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41471422,23.85124722
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.4147194,23.85123556
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41473451,23.85122739
a,Bagmara,1312018,5,ridge,a_Bagmara_01312018_5_ridge,89.41474567,23.85122095
