names_clean,names_raw,region_id,rep_id,date_num
Bagmara_04142016_3_b,Bagmara_04142016_3_b,1,2085,736434
Bagmara_04142016_4_b,Bagmara_04142016_4_b,1,2087,736434
Bagmara_04142016_5_b,Bagmara_04142016_5_b,1,2088,736434
Bagmara_04142016_6_b,Bagmara_04142016_6_b,1,2089,736434
Bagmara_04142016_7_b,Bagmara_04142016_7_b,1,2090,736434
Bagmara_11082016_10_n,Bagmara_11082016_10,1,2100,736642
Bagmara_11082016_11_n,Bagmara_11082016_11,1,2101,736642
Bagmara_11082016_12_n,Bagmara_11082016_12,1,2102,736642
Bagmara_11082016_13_b,Bagmara_11082016_13_b,1,2103,736642
Bagmara_11082016_14_b,Bagmara_11082016_14_b,1,2104,736642
Bagmara_11082016_15_b,Bagmara_11082016_15_b,1,2105,736642
Bagmara_11082016_16_b,Bagmara_11082016_16_b,1,2106,736642
Bagmara_11082016_1_b,Bagmara_11082016_1_b,1,2091,736642
Bagmara_11082016_2_b,Bagmara_11082016_2_b,1,2092,736642
Bagmara_11082016_3_b,Bagmara_11082016_3_b,1,2093,736642
Bagmara_11082016_4_b,Bagmara_11082016_4_b,1,2094,736642
Bagmara_11082016_5_b,Bagmara_11082016_5_b,1,2095,736642
Bagmara_11082016_6_b,Bagmara_11082016_6_b,1,2096,736642
Bagmara_11082016_7_n,Bagmara_11082016_7,1,2097,736642
Bagmara_11082016_8_n,Bagmara_11082016_8,1,2098,736642
Bagmara_11082016_9_n,Bagmara_11082016_9,1,2099,736642
Bagmara_11232020_10_n,Bagmara_11232020_10,1,2196,738118
Bagmara_11232020_11_n,Bagmara_11232020_11,1,2197,738118
Bagmara_11232020_12_b,Bagmara_11232020_12_b,1,2198,738118
Bagmara_11232020_13_b,Bagmara_11232020_13_b,1,2199,738118
Bagmara_11232020_14_b,Bagmara_11232020_14_b,1,2200,738118
Bagmara_11232020_15_b,Bagmara_11232020_15_b,1,2201,738118
Bagmara_11232020_16_n,Bagmara_11232020_16,1,2202,738118
Bagmara_11232020_17_b,Bagmara_11232020_17_b,1,2203,738118
Bagmara_11232020_18_b,Bagmara_11232020_18_b,1,2204,738118
Bagmara_11232020_19_b,Bagmara_11232020_19_b,1,2205,738118
Bagmara_11232020_1_b,Bagmara_11232020_1_b,1,2187,738118
Bagmara_11232020_20_b,Bagmara_11232020_20_b,1,2206,738118
Bagmara_11232020_21_b,Bagmara_11232020_21_b,1,2207,738118
Bagmara_11232020_22_b,Bagmara_11232020_22_b,1,2208,738118
Bagmara_11232020_23_b,Bagmara_11232020_23_b,1,2209,738118
Bagmara_11232020_24_b,Bagmara_11232020_24_b,1,2210,738118
Bagmara_11232020_25_b,Bagmara_11232020_25_b,1,2211,738118
Bagmara_11232020_26_b,Bagmara_11232020_26_b,1,2212,738118
Bagmara_11232020_27_b,Bagmara_11232020_27_b,1,2213,738118
Bagmara_11232020_28_b,Bagmara_11232020_28_b,1,2214,738118
Bagmara_11232020_29_b,Bagmara_11232020_29_b,1,2215,738118
Bagmara_11232020_2_b,Bagmara_11232020_2_b,1,2188,738118
Bagmara_11232020_30_b,Bagmara_11232020_30_b,1,2216,738118
Bagmara_11232020_31_b,Bagmara_11232020_31_b,1,2217,738118
Bagmara_11232020_3_b,Bagmara_11232020_3_b,1,2189,738118
Bagmara_11232020_4_b,Bagmara_11232020_4_b,1,2190,738118
Bagmara_11232020_5_n,Bagmara_11232020_5,1,2191,738118
Bagmara_11232020_6_n,Bagmara_11232020_6,1,2192,738118
Bagmara_11232020_7_b,Bagmara_11232020_7_b,1,2193,738118
Bagmara_11232020_8_b,Bagmara_11232020_8_b,1,2194,738118
Bagmara_11232020_9_b,Bagmara_11232020_9_b,1,2195,738118
Bagmara_12052015_1_b,Bagmara_12052015_1_b,1,2075,736303
Bagmara_12052015_2_b,Bagmara_12052015_2_b,1,2076,736303
Bagmara_12052015_3_b,Bagmara_12052015_3_b,1,2077,736303
Bagmara_12052015_4_b,Bagmara_12052015_4_b,1,2078,736303
Bahirchar_01022016_10_n,Bahirchar_01022016_10,2,25570,736331
Bahirchar_01022016_11_b,Bahirchar_01022016_11_b,2,25571,736331
Bahirchar_01022016_12_b,Bahirchar_01022016_12_b,2,25572,736331
Bahirchar_01022016_13_b,Bahirchar_01022016_13_b,2,25573,736331
Bahirchar_01022016_14_b,Bahirchar_01022016_14_b,2,25574,736331
Bahirchar_01022016_15_b,Bahirchar_01022016_15_b,2,25575,736331
Bahirchar_01022016_16_b,Bahirchar_01022016_16_b,2,25576,736331
Bahirchar_01022016_17_b,Bahirchar_01022016_17_b,2,25577,736331
Bahirchar_01022016_18_b,Bahirchar_01022016_18_b,2,25578,736331
Bahirchar_01022016_19_b,Bahirchar_01022016_19_b,2,25579,736331
Bahirchar_01022016_1_n,Bahirchar_01022016_1,2,25561,736331
Bahirchar_01022016_20_b,Bahirchar_01022016_20_b,2,25580,736331
Bahirchar_01022016_21_b,Bahirchar_01022016_21_b,2,25581,736331
Bahirchar_01022016_22_b,Bahirchar_01022016_22_b,2,25582,736331
Bahirchar_01022016_23_b,Bahirchar_01022016_23_b,2,25583,736331
Bahirchar_01022016_24_b,Bahirchar_01022016_24_b,2,25584,736331
Bahirchar_01022016_25_b,Bahirchar_01022016_25_b,2,25585,736331
Bahirchar_01022016_26_b,Bahirchar_01022016_26_b,2,25586,736331
Bahirchar_01022016_27_b,Bahirchar_01022016_27_b,2,25587,736331
Bahirchar_01022016_28_b,Bahirchar_01022016_28_b,2,25588,736331
Bahirchar_01022016_2_n,Bahirchar_01022016_2,2,25562,736331
Bahirchar_01022016_3_n,Bahirchar_01022016_3,2,25563,736331
Bahirchar_01022016_4_n,Bahirchar_01022016_4,2,25564,736331
Bahirchar_01022016_5_n,Bahirchar_01022016_5,2,25565,736331
Bahirchar_01022016_6_b,Bahirchar_01022016_6_b,2,25566,736331
Bahirchar_01022016_7_n,Bahirchar_01022016_7,2,25567,736331
Bahirchar_01022016_8_n,Bahirchar_01022016_8,2,25568,736331
Bahirchar_01022016_9_n,Bahirchar_01022016_9,2,25569,736331
Bahirchar_01092017_10_n,Bahirchar_01092017_10,2,25717,736704
Bahirchar_01092017_11_n,Bahirchar_01092017_11,2,25718,736704
Bahirchar_01092017_12_n,Bahirchar_01092017_12,2,25719,736704
Bahirchar_01092017_13_n,Bahirchar_01092017_13,2,25720,736704
Bahirchar_01092017_14_n,Bahirchar_01092017_14,2,25721,736704
Bahirchar_01092017_15_b,Bahirchar_01092017_15_b,2,25722,736704
Bahirchar_01092017_16_b,Bahirchar_01092017_16_b,2,25723,736704
