region_name,region_id,repo_rank_vec,primary_sample_flag,date_1,date_2,repo_name_raw,repo_name_clean,mean_x_pos,mean_y_pos,mean_pca_pos,date_1_num
Bagmara,1,14,1,02052018,02072018,Bagmara_02052018_9_b,Bagmara_02052018_9_b,746109.560260143,746109.560260143,40501.8104997155,737096
Bagmara,1,15,0,02052018,02072018,Bagmara_02052018_5_b,Bagmara_02052018_5_b,745904.403981,745904.403981,40187.8028863722,737096
Bagmara,1,16,0,02052018,02072018,Bagmara_02052018_1_b,Bagmara_02052018_1_b,745526.7793688,745526.7793688,39705.2575343425,737096
Bagmara,1,17,0,02052018,02072018,Bagmara_02052018_14_b,Bagmara_02052018_14_b,746327.388040091,746327.388040091,40723.5566148873,737096
Bagmara,1,18,0,02052018,02072018,Bagmara_02052018_11_b,Bagmara_02052018_11_b,746247.932414059,746247.932414059,40619.4712827146,737096
Bagmara,1,19,0,02052018,02072018,Bagmara_02052018_21_b,Bagmara_02052018_21_b,746566.385943067,746566.385943067,41048.5896865467,737096
Bagmara,1,20,0,02052018,02072018,Bagmara_02052018_8_b,Bagmara_02052018_8_b,746108.912504385,746108.912504385,40443.7985755447,737096
Bagmara,1,21,0,02052018,02072018,Bagmara_02052018_15_b,Bagmara_02052018_15_b,746357.139511773,746357.139511773,40754.8863646204,737096
Bagmara,1,22,0,02052018,02072018,Bagmara_02052018_18_b,Bagmara_02052018_18_b,746442.252328667,746442.252328667,40878.7232127362,737096
Bagmara,1,23,0,02052018,02072018,Bagmara_02052018_22_b,Bagmara_02052018_22_b,746594.219379188,746594.219379188,41082.5264940258,737096
Bahirchar,2,1,1,11092015,11232015,Bahirchar_11092015_11_b,Bahirchar_11092015_11_b,706180.2028854,706180.2028854,-2787.55882612822,736277
Bahirchar,2,2,1,11092015,11232015,Bahirchar_11092015_18_b,Bahirchar_11092015_18_b,706138.113084917,706138.113084917,-2860.33464474206,736277
Bahirchar,2,3,1,11092015,11232015,Bahirchar_11092015_9,Bahirchar_11092015_9_n,706002.022291714,706002.022291714,-3133.27031837664,736277
Bahirchar,2,4,1,11092015,11232015,Bahirchar_11092015_14_b,Bahirchar_11092015_14_b,706175.26622725,706175.26622725,-2802.93951940449,736277
Bahirchar,2,5,1,11092015,11232015,Bahirchar_11092015_21,Bahirchar_11092015_21_n,706189.882461526,706189.882461526,-2758.62706861921,736277
Bahirchar,2,6,1,11092015,11232015,Bahirchar_11092015_13,Bahirchar_11092015_13_n,706178.4315606,706178.4315606,-2796.29005646384,736277
Bahirchar,2,7,1,11092015,11232015,Bahirchar_11092015_20_b,Bahirchar_11092015_20_b,706190.0415598,706190.0415598,-2748.97743548135,736277
Bahirchar,2,8,1,11092015,11232015,Bahirchar_11092015_10,Bahirchar_11092015_10_n,706182.665701667,706182.665701667,-2780.51291512402,736277
Bahirchar,2,9,1,11092015,11232015,Bahirchar_11092015_19_b,Bahirchar_11092015_19_b,706157.972318154,706157.972318154,-2776.4258582618,736277
Bahirchar,2,10,1,11092015,11232015,Bahirchar_11092015_12_b,Bahirchar_11092015_12_b,706177.0489056,706177.0489056,-2794.80909646885,736277
Bahirchar,2,11,1,11092015,11232015,Bahirchar_11092015_8,Bahirchar_11092015_8_n,705973.175899867,705973.175899867,-3144.23671611878,736277
Bahirchar,2,12,1,11092015,11232015,Bahirchar_11092015_15,Bahirchar_11092015_15_n,706156.210067167,706156.210067167,-2809.77685704713,736277
Bahirchar,2,13,1,11092015,11232015,Bahirchar_11092015_1,Bahirchar_11092015_1_n,706141.047676941,706141.047676941,-2892.36479065748,736277
Bahirchar,2,14,1,11092015,11232015,Bahirchar_11092015_3,Bahirchar_11092015_3_n,706048.454743682,706048.454743682,-3028.76724686278,736277
Bahirchar,2,15,0,11092015,11232015,Bahirchar_11092015_26,Bahirchar_11092015_26_n,706178.03929775,706178.03929775,-2778.40405691121,736277
Bahirchar,2,16,0,11092015,11232015,Bahirchar_11092015_5,Bahirchar_11092015_5_n,706034.834788546,706034.834788546,-3078.97897180107,736277
Bahirchar,2,17,0,11092015,11232015,Bahirchar_11092015_16,Bahirchar_11092015_16_n,706160.371138077,706160.371138077,-2836.70762675258,736277
