side_dim_m,max_height_m,height_se,height_sd,overall_max_m
0.0,0.0,0.0,0.0,10.822037882589266
0.5005005005005005,0.09005235137860663,0.027310398692145205,0.4604533219495637,10.822037882589266
1.001001001001001,0.1744103135000437,0.03983285923389503,0.6715820066834636,10.822037882589266
1.5015015015015016,0.2560405068941642,0.048074102469303555,0.8105293676324501,10.822037882589266
2.002002002002002,0.33558276745692006,0.05383063369668493,0.907584484126099,10.822037882589266
2.5025025025025025,0.41335373230574757,0.05791146557866815,0.9763873096563355,10.822037882589266
3.0030030030030033,0.489549240528798,0.06077708068814304,1.0247015804020816,10.822037882589266
3.503503503503504,0.5643058073753823,0.06272391917186208,1.0575252772375845,10.822037882589266
4.004004004004004,0.6377260694641671,0.06395810958500191,1.0783337276031217,10.822037882589266
4.504504504504505,0.709891317898177,0.06463079111410881,1.089675138183864,10.822037882589266
5.005005005005005,0.7808684211141215,0.06485717118204767,1.0934919061293131,10.822037882589266
5.505505505505506,0.8507139762885808,0.06472771785235154,1.0913093229906363,10.822037882589266
6.0060060060060065,0.9194769585269157,0.06431516584303446,1.0843536961135503,10.822037882589266
6.506506506506507,0.9872004961513006,0.06367912496763246,1.073630046954273,10.822037882589266
7.007007007007008,1.053923108396179,0.06286923314056056,1.0599752707498407,10.822037882589266
7.507507507507508,1.1196795970444553,0.06192738248335074,1.0440956686692833,10.822037882589266
8.008008008008009,1.1845017067497265,0.06088933058095338,1.026594113594864,10.822037882589266
8.508508508508509,1.2484186257472576,0.05978588905403675,1.0079900894510498,10.822037882589266
9.00900900900901,1.3114573733883996,0.05864381206926966,0.9887346714878769,10.822037882589266
9.50950950950951,1.3736431055058251,0.057486465510244486,0.9692218085027126,10.822037882589266
10.01001001001001,1.4349993588739978,0.056334331538359435,0.9497968297367309,10.822037882589266
10.510510510510512,1.495548249692542,0.05520538683367389,0.9307628220157327,10.822037882589266
11.011011011011012,1.5553106367906777,0.05411538234053601,0.9123853462614283,10.822037882589266
11.511511511511513,1.6143062573624996,0.05307804574656634,0.8948958512870998,10.822037882589266
12.012012012012013,1.6725538410294527,0.052105223889126764,0.8784940747706687,10.822037882589266
12.512512512512513,1.7300712065968222,0.051206979932713136,0.863349681665535,10.822037882589266
13.013013013013014,1.7868753448390495,0.05039165884137182,0.8496033680655206,10.822037882589266
13.513513513513514,1.8429824898923004,0.049665933849728394,0.8373676447064126,10.822037882589266
14.014014014014016,1.898408181270646,0.04903484586180951,0.8267275012301003,10.822037882589266
14.514514514514516,1.9531673180992204,0.0485018466117271,0.817741133873711,10.822037882589266
