ORIG_FID,repose_angle,vol_est,vol_ste
107,35,196.372922634054,23.2349348012885
108,35,433.258014774499,75.2156429220926
109,35,351.943293811153,57.0641810992172
110,35,80.7666959985416,6.78666933093545
111,35,140.747774984106,20.8754313414219
112,35,113.76010841591,14.993130247263
113,35,160.877238668475,25.1248534791315
114,35,624.010318852859,147.21463570239
115,35,234.405709080688,42.2076846438516
116,35,66.7710506018422,4.07217877242711
117,35,112.418007694947,12.1400177540567
118,35,170.8775754777,27.4566307734939
119,35,98.9069318480323,9.05672844405759
120,35,112.57028881848,9.56083308459471
121,35,161.5236888831,18.0021921431877
122,35,132.471862175774,18.4369913923306
123,35,144.284949924458,17.4740262126419
124,35,136.28574165562,16.2805153504361
125,35,162.568808872963,21.5783623017893
126,35,231.865170231537,39.1714086485457
127,35,190.360587522593,32.2299035113495
128,35,226.467987185243,32.4325984597901
129,35,264.998186938234,46.2105434055832
130,35,183.18248209699,25.6077085844974
131,35,206.517829213391,35.7704884441523
132,35,89.8975879180024,6.01046194290116
133,35,88.3791246866086,6.17986125564764
134,35,92.4414288401984,6.96244842045571
135,35,40.5692673559374,0.930319635124918
136,35,140.569143542315,12.9913644482953
137,35,188.060970945815,20.3609802980124
138,35,46.8604079204966,2.35416869546934
139,35,36.989738086198,1.84899366212863
140,35,70.4102532704223,3.99655063943126
141,35,232.984498593457,35.9749945838273
142,35,155.302039299086,13.5959325323505
143,35,196.78062578931,27.3198245253577
144,35,104.250138809029,5.35811748917956
145,35,233.689327441649,33.8402949553914
146,35,112.866704172534,9.14622990550964
147,35,81.0178311993867,6.14869937318831
148,35,197.061028885834,26.4594005654656
149,35,299.981392972782,54.9414177287142
150,35,206.218618742398,22.0816549144071
151,35,241.842239818307,34.1476569125038
152,35,388.303433846287,65.9505552240909
153,35,608.118346174444,136.924931087443
154,35,1023.30160494617,230.796035586501
155,35,480.372231208468,88.445460369495
156,35,267.318771730026,50.1872606379538
157,35,338.320182755067,45.1611609502238
158,35,411.051930400925,70.538113853487
159,35,75.9746034280856,7.25760473498258
160,35,53.1530145403127,3.88071153505963
161,35,148.793467418316,21.5692314502662
162,35,339.585473654542,63.1178423048519
163,35,75.9207472519692,5.50734485641319
164,35,376.533878676591,68.0837149787274
165,35,147.63247379876,16.7011265818868
166,35,225.095129432559,26.2404548085782
167,35,339.663438489661,68.2705076969023
168,35,90.1040988131526,5.99198786755572
169,35,259.027131017769,33.1925939351448
170,35,569.541490446583,107.258867938367
171,35,363.388172600976,46.4667726020572
172,35,572.797868422106,76.5506804145279
173,35,415.307424555058,55.7296620072245
174,35,127.701309304192,14.9778942762931
175,35,143.838042963481,20.1161333465163
176,35,49.1343398966032,3.12857832767281
177,35,96.3744834546754,7.6551723330877
178,35,160.215839226812,21.2598759969586
179,35,199.434444245624,24.0841158340055
180,35,22.1280080525225,0.450637178568096
181,35,422.725131055008,62.7190999131945
182,35,579.211283642929,101.071363749689
183,35,267.931665951703,33.1559024927996
184,35,438.520040041652,65.363296903266
185,35,379.846124687623,49.8499442088529
186,35,447.01884487973,72.382629049124
187,35,304.640915320807,37.1035905358523
188,35,221.215418467105,25.5620431064543
189,35,294.944288143667,35.8642564963229
190,35,284.977843543367,41.0015376817194
191,35,42.5276752855679,2.19598776474382
192,35,249.515555022478,34.6873551595809
193,35,169.464820762636,18.8377726411594
194,35,385.708517028412,60.2564983002775
195,35,377.641654489334,48.607897359405
196,35,167.935978358222,19.9159705279744
197,35,245.688496650621,44.5410078766558
198,35,451.762659279984,80.2558687163934
199,35,483.155733656683,73.9178744679459
200,35,525.198896749676,83.0513755808144
201,35,240.650531211906,38.0507309597607
202,35,252.495169818712,42.7754985970423
203,35,306.824288146791,42.8760867167367
204,35,325.447028761493,67.6455239660346
205,35,102.106218788043,10.7471170895697
206,35,51.9879310074522,3.73711035006693
207,35,177.965581854112,18.6397004243614
208,35,136.31467465103,11.2392475696732
209,35,290.560450692801,44.3917676292225
210,35,618.356720206895,155.706006558559
211,35,140.632177757468,16.2875647704623
212,35,183.942286914203,31.8506246677368
213,35,635.704576186207,152.36266762224
214,35,611.66138449527,139.129690502191
215,35,1195.65813075749,244.631506947317
216,35,226.785856779495,41.7636910214297
217,35,532.647817078596,113.879988253747
218,35,133.592374693645,19.7415989951771
219,35,346.485732620693,62.1601294377736
220,35,175.582883156128,28.5660659997713
221,35,557.38600481914,116.799136758196
222,35,240.079477005896,39.3183668261188
223,35,332.632306768764,59.1526722853232
224,35,176.201058655937,26.7629450724431
