repo_id,date_num,date_string,current_vol_est,current_vol_ste,total_capacity
1,736277,09-Nov-2015,1176.22474833576,324.298881502835,1690.7694313775
1,736291,23-Nov-2015,1309.18110891213,355.544706613462,1690.7694313775
1,736296,28-Nov-2015,1142.47181737041,303.635276127511,1690.7694313775
1,736331,02-Jan-2016,704.211845110294,144.79009563305,1690.7694313775
1,736342,13-Jan-2016,735.789647622589,163.267126336873,1690.7694313775
1,736386,26-Feb-2016,1150.33361186768,244.749307502233,1690.7694313775
1,736401,12-Mar-2016,617.188195839563,98.0367655976417,1690.7694313775
1,736415,26-Mar-2016,699.4206685867,124.261611862772,1690.7694313775
2,736277,09-Nov-2015,258.090558771322,42.9107196392049,781.404172255567
2,736291,23-Nov-2015,338.016162008056,56.5256266064832,781.404172255567
2,736296,28-Nov-2015,130.236178599265,10.4703964256969,781.404172255567
2,736331,02-Jan-2016,137.468771459645,8.02551751544009,781.404172255567
2,736342,13-Jan-2016,155.811611901344,10.8132871923124,781.404172255567
2,736386,26-Feb-2016,34.8233048115986,2.03723876977988,781.404172255567
2,736401,12-Mar-2016,468.637980997259,109.137570718678,781.404172255567
2,736415,26-Mar-2016,525.113162079329,108.896108089463,781.404172255567
3,736277,09-Nov-2015,742.262344472175,188.104244661986,1109.13689640618
3,736291,23-Nov-2015,0,0,1109.13689640618
3,736296,28-Nov-2015,126.767035509256,6.60492614886625,1109.13689640618
3,736331,02-Jan-2016,499.501537689497,103.031608740532,1109.13689640618
3,736342,13-Jan-2016,133.161672369946,3.24705397485882,1109.13689640618
3,736386,26-Feb-2016,134.951485619472,5.87785082703159,1109.13689640618
3,736401,12-Mar-2016,252.438490820567,13.8525986413385,1109.13689640618
3,736415,26-Mar-2016,249.005896192821,28.4410792702558,1109.13689640618
4,736277,09-Nov-2015,152.019361998179,26.7536074533079,914.383801731593
4,736291,23-Nov-2015,292.724188770849,40.9976835567489,914.383801731593
4,736296,28-Nov-2015,567.214005183407,160.804828949968,914.383801731593
4,736331,02-Jan-2016,732.375290972508,215.708956803461,914.383801731593
4,736342,13-Jan-2016,0,0,914.383801731593
4,736386,26-Feb-2016,511.199639900102,125.119216265215,914.383801731593
4,736401,12-Mar-2016,643.313282017168,189.580873720474,914.383801731593
4,736415,26-Mar-2016,335.200462310523,54.6646090295247,914.383801731593
5,736277,09-Nov-2015,264.171492035254,26.08306627325,995.446675045673
5,736291,23-Nov-2015,415.965697818447,79.5909718259121,995.446675045673
5,736296,28-Nov-2015,214.074339760469,18.9665614556383,995.446675045673
5,736331,02-Jan-2016,140.829704848659,6.3712093218791,995.446675045673
5,736342,13-Jan-2016,205.270512155259,22.7993368607767,995.446675045673
5,736386,26-Feb-2016,179.477713746841,17.5890462157578,995.446675045673
5,736401,12-Mar-2016,332.34446784968,50.3580586581371,995.446675045673
5,736415,26-Mar-2016,155.347101099999,4.67183944491048,995.446675045673
6,736277,09-Nov-2015,519.448683805958,66.4822271780902,2979.13803876141
6,736291,23-Nov-2015,303.524265405987,22.5647151071679,2979.13803876141
6,736296,28-Nov-2015,972.367016999014,166.920010729085,2979.13803876141
6,736331,02-Jan-2016,458.287116180278,62.324797621352,2979.13803876141
6,736342,13-Jan-2016,288.74676845798,10.8661870070584,2979.13803876141
6,736386,26-Feb-2016,2403.79997784628,490.306801423416,2979.13803876141
6,736401,12-Mar-2016,2330.53401768222,475.527867666099,2979.13803876141
6,736415,26-Mar-2016,2296.20047998983,481.817355761713,2979.13803876141
7,736277,09-Nov-2015,640.174328004643,19.3577104502406,3454.2949783253
7,736291,23-Nov-2015,1708.35559776251,238.687668698233,3454.2949783253
7,736296,28-Nov-2015,883.303722949594,70.3575099622062,3454.2949783253
7,736331,02-Jan-2016,1152.39534983036,126.587364188799,3454.2949783253
7,736342,13-Jan-2016,3199.1892397896,722.928773612757,3454.2949783253
7,736386,26-Feb-2016,52.7976192472075,0.924009437067405,3454.2949783253
7,736401,12-Mar-2016,0,0,3454.2949783253
7,736415,26-Mar-2016,1797.0376235521,250.872064734799,3454.2949783253
8,736277,09-Nov-2015,2426.75553214162,378.53585154037,5090.14507081795
8,736291,23-Nov-2015,2117.7062111048,313.268469196786,5090.14507081795
8,736296,28-Nov-2015,1764.90177551888,231.634981282356,5090.14507081795
8,736331,02-Jan-2016,1090.73651250434,76.4169523302725,5090.14507081795
8,736342,13-Jan-2016,872.443311017016,52.569993852038,5090.14507081795
8,736386,26-Feb-2016,2636.49195117207,497.339598971025,5090.14507081795
8,736401,12-Mar-2016,2769.90674437177,503.062761742059,5090.14507081795
8,736415,26-Mar-2016,3627.69525264709,733.779234029979,5090.14507081795
9,736277,09-Nov-2015,NaN,NaN,1625.75063308316
9,736291,23-Nov-2015,NaN,NaN,1625.75063308316
9,736296,28-Nov-2015,NaN,NaN,1625.75063308316
9,736331,02-Jan-2016,911.755252555023,224.187399538355,1625.75063308316
9,736342,13-Jan-2016,907.083385214449,216.380657079611,1625.75063308316
9,736386,26-Feb-2016,0,0,1625.75063308316
9,736401,12-Mar-2016,795.270196726588,180.585412316834,1625.75063308316
9,736415,26-Mar-2016,842.128116123553,190.245941309663,1625.75063308316
10,736277,09-Nov-2015,NaN,NaN,1402.54256169021
10,736291,23-Nov-2015,NaN,NaN,1402.54256169021
10,736296,28-Nov-2015,NaN,NaN,1402.54256169021
10,736331,02-Jan-2016,736.14005678713,164.588790587754,1402.54256169021
10,736342,13-Jan-2016,327.823355980742,32.7628906576062,1402.54256169021
10,736386,26-Feb-2016,254.82488827088,15.5883482397214,1402.54256169021
