FID,Id,area,ORIG_FID,POINT_X,POINT_Y
269,0,1140,2,-607385.829293000050000,-650017.741999999970000
270,0,1140,2,-607384.922227000000000,-650016.287932000010000
271,0,1140,2,-607383.979736999960000,-650015.702171999960000
272,0,1140,2,-607382.968073999970000,-650014.850933999990000
273,0,1140,2,-607381.573596999980000,-650013.539553000010000
274,0,1140,2,-607380.632325000010000,-650012.954645000050000
275,0,1140,2,-607379.689709000060000,-650012.369940000000000
276,0,1140,2,-607378.677363000000000,-650011.520142000050000
277,0,1140,2,-607377.735652999950000,-650010.935960000030000
278,0,1140,2,-607376.794255999960000,-650010.352106999960000
279,0,1140,2,-607375.643705000050000,-650008.973557000050000
280,0,1140,2,-607374.250277000010000,-650007.666413999980000
281,0,1140,2,-607373.623829000050000,-650007.277958999970000
282,0,1140,2,-607372.684356000040000,-650006.695379000040000
283,0,1140,2,-607371.362680000020000,-650005.654594999970000
284,0,1140,2,-607370.424225999970000,-650005.072764000040000
285,0,1140,2,-607369.173662999990000,-650004.297448999950000
286,0,1140,2,-607367.923701999940000,-650003.522445000010000
287,0,1140,2,-607366.743827000030000,-650003.012043999970000
288,0,1140,2,-607365.807395000010000,-650002.431480000030000
289,0,1140,2,-607364.940529000010000,-650002.114972000010000
290,0,1140,2,-607364.109008000000000,-650000.936445000000000
291,0,1140,2,-607363.104533000030000,-650000.092891999990000
292,0,1140,2,-607362.343105999990000,-649999.179085999960000
293,0,1140,2,-607361.270506000030000,-649998.072781999940000
294,0,1140,2,-607360.440871999950000,-649996.896461999980000
295,0,1140,2,-607359.922760999990000,-649995.913548000040000
296,0,1140,2,-607359.404872999990000,-649994.931085000050000
297,0,1739,3,-607343.932615999950000,-650021.650315999980000
298,0,1739,3,-607344.139638999940000,-650020.457596999940000
299,0,1739,3,-607343.032969999940000,-650020.216602999950000
300,0,1739,3,-607341.581076000000000,-650020.642601000030000
301,0,1739,3,-607339.645601999950000,-650021.210573000020000
302,0,1739,3,-607339.161831000000000,-650021.352560000030000
303,0,1739,3,-607338.021613999970000,-650021.969858999950000
304,0,1739,3,-607336.950392000030000,-650022.849853000020000
305,0,1739,3,-607336.431831000020000,-650023.850446000000000
306,0,1739,3,-607336.051071000050000,-650025.376557999990000
307,0,1739,3,-607335.601243000010000,-650026.640327999950000
308,0,1739,3,-607335.220245999980000,-650028.167269999980000
309,0,1739,3,-607334.804079000020000,-650030.554470999980000
310,0,1739,3,-607334.285012000010000,-650031.556258999980000
311,0,1739,3,-607333.869950999970000,-650031.961076000010000
312,0,1739,3,-607333.246609000020000,-650033.560202999970000
313,0,1739,3,-607332.312317000000000,-650034.967284000010000
314,0,1739,3,-607330.962687000050000,-650036.779431000000000
315,0,1739,3,-607330.063733999970000,-650037.325890999990000
316,0,1739,3,-607329.233522000020000,-650038.135645000030000
317,0,1739,3,-607328.230116000050000,-650039.279688999990000
318,0,1739,3,-607327.157954000050000,-650040.160206999980000
319,0,1739,3,-607326.085792000060000,-650041.040723999960000
320,0,1739,3,-607325.187023999980000,-650041.587056000020000
321,0,1739,3,-607323.389577000050000,-650042.679598000020000
322,0,1739,3,-607322.075836000030000,-650043.630622999980000
323,0,1739,3,-607320.935482000000000,-650044.247346000050000
324,0,1739,3,-607320.105365999970000,-650045.057093000040000
325,0,1739,3,-607319.206024999960000,-650045.603576999970000
326,0,1739,3,-607318.063419000010000,-650046.221492000040000
327,0,1739,3,-607317.163140999970000,-650046.768501000010000
328,0,1739,3,-607316.263049999950000,-650047.315381999940000
329,0,1739,3,-607315.605094000000000,-650047.791371000000000
330,0,1739,3,-607314.531317000040000,-650048.672456000000000
331,0,1739,3,-607314.009339999990000,-650049.675826000050000
332,0,1739,3,-607314.590608000060000,-650050.924252999950000
333,0,1739,3,-607315.694351000010000,-650051.169511000040000
334,0,1739,3,-607316.934504000000000,-650051.942821000000000
335,0,1739,3,-607318.175170999950000,-650052.716562999990000
336,0,1739,3,-607318.553546000040000,-650053.174083000050000
337,0,1739,3,-607319.378548000010000,-650054.353843000020000
338,0,1739,3,-607319.961519000000000,-650055.604603999990000
339,0,1739,3,-607320.302270999990000,-650056.926497000040000
340,0,1739,3,-607320.711274000000000,-650058.513110000060000
341,0,1739,3,-607321.052272000000000,-650059.835801000010000
342,0,1739,3,-607321.529792999970000,-650061.688282000020000
343,0,1739,3,-607321.802696999980000,-650062.747172000000000
344,0,1739,3,-607322.212323999960000,-650064.335957000030000
345,0,1739,3,-607322.417105000000000,-650065.130584000030000
346,0,1739,3,-607323.001376000000000,-650066.384986000020000
347,0,1739,3,-607323.654239000050000,-650067.904901999980000
348,0,1739,3,-607324.170579000030000,-650068.895028000000000
349,0,1739,3,-607325.066857000000000,-650070.345832000020000
350,0,1739,3,-607325.515251999950000,-650071.071450000050000
351,0,1739,3,-607326.412184000020000,-650072.523376000000000
352,0,1739,3,-607326.929402000040000,-650073.515075000000000
353,0,1739,3,-607327.583737000010000,-650075.038272000030000
354,0,1739,3,-607328.481843000050000,-650076.491868000010000
355,0,1739,3,-607329.380298999950000,-650077.946372000030000
356,0,1739,3,-607330.210563999950000,-650079.135570000040000
357,0,1739,3,-607330.866325999960000,-650080.661350999960000
358,0,1739,3,-607331.697245000050000,-650081.851671000010000
359,0,1739,3,-607332.528490999950000,-650083.042551000020000
360,0,1739,3,-607334.542353000030000,-650084.753202999940000
361,0,1739,3,-607335.656101000030000,-650085.006199000050000
362,0,1739,3,-607336.388225000000000,-650084.796413999980000
363,0,1739,3,-607337.157644000020000,-650083.717156999980000
364,0,1739,3,-607338.378410000000000,-650083.367168999980000
365,0,1739,3,-607339.217141999980000,-650082.554077000010000
366,0,1739,3,-607340.369337999960000,-650081.937410000010000
367,0,1739,3,-607341.766315000020000,-650081.250262000020000
368,0,1739,3,-607343.094536000050000,-650080.296563999960000
369,0,1739,3,-607344.072480999980000,-650080.015881999980000
370,0,1739,3,-607345.295320000030000,-650079.664945999980000
371,0,1739,3,-607346.204502000010000,-650079.117596999970000
372,0,1739,3,-607347.603366000000000,-650078.429630000030000
373,0,1739,3,-607348.933257999950000,-650077.474776000020000
374,0,1739,3,-607349.842201999970000,-650076.926744000050000
375,0,1739,3,-607351.165858999940000,-650075.969961000020000
376,0,1739,3,-607352.245619000050000,-650075.083834000050000
377,0,1739,3,-607353.011254000010000,-650074.001557999990000
378,0,1739,3,-607354.091005999940000,-650073.115315999950000
379,0,1739,3,-607354.856557999970000,-650072.033277999960000
380,0,1739,3,-607355.692316000000000,-650071.217698000020000
381,0,1739,3,-607356.945766999970000,-650069.994455000040000
382,0,1739,3,-607357.363645000030000,-650069.586664999950000
383,0,1739,3,-607358.443395999960000,-650068.700422000020000
384,0,1739,3,-607359.523154999940000,-650067.814294000040000
385,0,1739,3,-607360.185122999940000,-650067.335835000030000
386,0,1739,3,-607361.264873999990000,-650066.449590999980000
387,0,1739,3,-607362.415297999980000,-650065.829541999960000
388,0,1739,3,-607363.250957999960000,-650065.013966999950000
389,0,1739,3,-607363.842438000020000,-650064.269183999980000
390,0,1739,3,-607364.678105999950000,-650063.453725000030000
391,0,1739,3,-607365.128341999950000,-650062.176661000000000
392,0,1739,3,-607364.846055999980000,-650061.112203000000000
393,0,1739,3,-607364.493141000040000,-650059.782245000010000
394,0,1739,3,-607364.037475000020000,-650059.055230999950000
395,0,1739,3,-607363.093861000030000,-650058.470122999980000
396,0,1739,3,-607362.356726999980000,-650056.680810000050000
397,0,1739,3,-607361.587375000000000,-650055.759946999950000
398,0,1739,3,-607361.235478000020000,-650054.432250999960000
399,0,1739,3,-607360.396330000020000,-650053.246766000050000
400,0,1739,3,-607359.730881000050000,-650051.725793999970000
401,0,1739,3,-607359.136082999990000,-650050.470669999950000
402,0,1739,3,-607358.785011000000000,-650049.145249000050000
403,0,1739,3,-607358.330884999940000,-650048.421045999970000
404,0,1739,3,-607357.980155000000000,-650047.096417999940000
405,0,1739,3,-607357.142760999970000,-650045.914079000010000
406,0,1739,3,-607356.932478999950000,-650045.119919999970000
407,0,1739,3,-607356.095531000060000,-650043.938483000030000
408,0,1739,3,-607355.259104000060000,-650042.757594999970000
409,0,1739,3,-607354.666104999950000,-650041.506311999980000
410,0,1739,3,-607353.830227999950000,-650040.326435999940000
411,0,1739,3,-607352.682003000050000,-650038.953905000000000
412,0,1739,3,-607351.847076999950000,-650037.775247000040000
413,0,1739,3,-607351.637805999960000,-650036.983235000050000
414,0,1739,3,-607350.421210999950000,-650035.348666999950000
415,0,1739,3,-607349.760437999970000,-650033.837055000010000
416,0,1739,3,-607349.481883000000000,-650032.782366000000000
417,0,1739,3,-607348.891202999980000,-650031.535473000030000
418,0,1739,3,-607348.127760999950000,-650030.623540999950000
419,0,1739,3,-607347.780049000050000,-650029.306633000030000
420,0,1739,3,-607347.190141999980000,-650028.061203000020000
421,0,1739,3,-607346.149720999990000,-650026.097973000030000
422,0,1739,3,-607345.872110000000000,-650025.045900000030000
423,0,1739,3,-607344.902087999970000,-650023.347601999990000
424,0,1739,3,-607344.451886000000000,-650022.630129000060000
425,0,1739,3,-607343.932615999950000,-650021.650315999980000
426,0,1545,4,-607305.258436999980000,-650110.122130000030000
427,0,1545,4,-607304.559424999980000,-650109.474348000020000
428,0,1545,4,-607303.758616999960000,-650109.424790999970000
429,0,1545,4,-607302.298837000040000,-650109.852100000020000
430,0,1545,4,-607300.839444000040000,-650110.279383999990000
431,0,1545,4,-607300.109791000020000,-650110.492964999980000
432,0,1545,4,-607298.898763000030000,-650110.846631000050000
433,0,1545,4,-607297.930258000040000,-650111.129380000060000
434,0,1545,4,-607296.477640999950000,-650111.553437000020000
435,0,1545,4,-607295.337285000020000,-650112.170272000020000
436,0,1545,4,-607294.438984000010000,-650112.716451999960000
437,0,1545,4,-607293.438751999990000,-650113.860284999940000
438,0,1545,4,-607292.540362000000000,-650114.406588000010000
439,0,1545,4,-607290.985531999960000,-650115.428429999970000
440,0,1545,4,-607290.399223000040000,-650116.167754999940000
441,0,1545,4,-607289.156288000060000,-650117.382747999970000
442,0,1545,4,-607288.569704000020000,-650118.122322999990000
443,0,1545,4,-607287.810709999990000,-650119.196368000000000
444,0,1545,4,-607287.154188000010000,-650119.672144999960000
445,0,1545,4,-607285.840870999960000,-650120.623950000040000
446,0,1545,4,-607284.942011000010000,-650121.170514000000000
447,0,1545,4,-607283.800997999960000,-650121.787739000050000
448,0,1545,4,-607282.487486999950000,-650122.739554999980000
449,0,1545,4,-607281.346385000040000,-650123.356900000010000
450,0,1545,4,-607280.689580000010000,-650123.832810999940000
451,0,1545,4,-607279.790534000030000,-650124.379503999950000
452,0,1545,4,-607278.718899999980000,-650125.260909999950000
453,0,1545,4,-607277.405016000030000,-650126.212981999970000
454,0,1545,4,-607276.575452000020000,-650127.023966999960000
455,0,1545,4,-607276.126805000010000,-650128.292773999970000
456,0,1545,4,-607275.608697999970000,-650129.297636999980000
457,0,1545,4,-607275.956141000030000,-650130.619564000050000
458,0,1545,4,-607276.234213000050000,-650131.677423999990000
459,0,1545,4,-607276.581908999940000,-650133.000266000050000
460,0,1545,4,-607277.484122000050000,-650134.446849999950000
461,0,1545,4,-607277.935391000010000,-650135.170423000000000
462,0,1545,4,-607278.213945999970000,-650136.229765000050000
463,0,1545,4,-607279.289751000000000,-650137.342152000060000
464,0,1545,4,-607279.983991999990000,-650137.995711000050000
465,0,1545,4,-607280.748160999970000,-650138.914466000050000
466,0,1545,4,-607281.582369999960000,-650140.098639999980000
467,0,1545,4,-607282.104430999960000,-650141.088748999990000
468,0,1545,4,-607282.766290000060000,-650142.609834000000000
469,0,1545,4,-607283.531418000000000,-650143.529923000020000
470,0,1545,4,-607284.436760999960000,-650144.981427000020000
471,0,1545,4,-607285.029650000040000,-650146.238650999960000
472,0,1545,4,-607285.379746000050000,-650147.567157999960000
473,0,1545,4,-607286.145841000020000,-650148.488697999970000
474,0,1545,4,-607287.052492000050000,-650149.942445000050000
475,0,1545,4,-607287.332987000000000,-650151.006318000030000
476,0,1545,4,-607288.170014000030000,-650152.195083000000000
477,0,1545,4,-607289.077638000020000,-650153.650397000020000
