FID,Id,ORIG_FID,POINT_X,POINT_Y
0,0,0,-577139.775486000000000,-691451.218620000060000
1,0,0,-577132.524790000050000,-691426.275722000050000
2,0,0,-577093.310217999970000,-691420.811098000030000
3,0,0,-577095.831703000000000,-691463.965680000020000
4,0,0,-577139.775486000000000,-691451.218620000060000
5,0,1,-531163.338038000050000,-710387.507025000060000
6,0,1,-531119.886326999990000,-710374.234395000040000
7,0,1,-531111.639741000020000,-710456.436039999940000
8,0,1,-531151.197673000050000,-710468.385434999950000
9,0,1,-531163.338038000050000,-710387.507025000060000
10,0,2,-531113.844106000030000,-710405.402123000010000
11,0,2,-531074.433031999970000,-710398.433918999970000
12,0,2,-531067.246670000020000,-710439.486832999970000
13,0,2,-531108.016154999960000,-710444.620291000000000
14,0,2,-531113.844106000030000,-710405.402123000010000
15,0,3,-613295.469739999970000,-644501.780896999990000
16,0,3,-613258.276957000020000,-644512.383361999990000
17,0,3,-613273.379854000060000,-644553.811653999960000
18,0,3,-613311.361415000050000,-644541.504242999940000
19,0,3,-613295.469739999970000,-644501.780896999990000
20,0,4,-613097.644529000040000,-644570.719027000010000
21,0,4,-613081.322990000020000,-644577.375137000000000
22,0,4,-613077.130011999980000,-644569.261992000040000
23,0,4,-613051.599387999970000,-644577.217721999970000
24,0,4,-613064.300556999980000,-644606.302850999990000
25,0,4,-613102.732691999990000,-644591.927371999950000
26,0,4,-613097.644529000040000,-644570.719027000010000
27,0,5,-613217.462574000000000,-644521.348042999980000
28,0,5,-613192.854551000050000,-644475.859334000040000
29,0,5,-613170.193876000000000,-644487.591549000000000
30,0,5,-613189.466939999950000,-644536.354839000040000
31,0,5,-613217.462574000000000,-644521.348042999980000
32,0,6,-613182.951146999960000,-644524.064928999990000
33,0,6,-613172.398960000020000,-644501.103771999940000
34,0,6,-613172.019811999980000,-644501.252726000040000
35,0,6,-613145.898428000040000,-644514.816014999990000
36,0,6,-613155.222247999980000,-644551.931210999960000
37,0,6,-613172.896167000060000,-644538.151284000020000
38,0,6,-613182.951146999960000,-644524.064928999990000
